id,name,date_begin,date_end,address_id/id,user_id/id,stage_id/id,event_type_id/id,seats_max,seats_limited,is_published,website_published,cimg,header_type,rectitle,teaser,event_id/id
"_demo.event_storytelling_bogenhausen","Storytelling & Performance","2025-12-15 14:00:00","2025-12-15 19:00:00","_demo.location_theaterraum_bogenhausen","_demo.partner_instructor_08","event.event_stage_announced","","15","True","True","True","https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=1600&h=900&fit=crop","cover","Storytelling Workshop","Eigene Geschichten finden und performativ erzählen. Von der Idee zur Bühnenerzählung.","_demo.location_theaterraum_bogenhausen"
"_demo.event_youth_festival_riem","Jugendtheaterfestival Riem","2025-12-18 14:00:00","2025-12-20 21:00:00","_demo.location_kulturhaus_riem","_demo.partner_instructor_14","event.event_stage_announced","","150","True","True","True","https://images.unsplash.com/photo-1524178232363-1fb2b075b655?w=1600&h=900&fit=crop","cover","Festival","3-tägiges Festival mit Jugendtheatergruppen aus ganz Bayern. Workshops, Performances, Austausch.","_demo.location_kulturhaus_riem"
"_demo.event_experimental_aubing","Experimentelles Theater","2025-12-22 18:00:00","2025-12-22 22:00:00","_demo.location_werkstattbühne_aubing","_demo.partner_instructor_12","event.event_stage_announced","","20","True","True","True","https://images.unsplash.com/photo-1518032818693-c0c149476558?w=1600&h=900&fit=crop","cover","Performance Lab","Abendworkshop für experimentierfreudige Theatermacher*innen. Performance Art, Installation, Grenzüberschreitungen.","_demo.location_werkstattbühne_aubing"
"_demo.event_kids_impro_trudering","Kinder-Impro: Geschichten erfinden","2026-01-08 14:00:00","2026-01-08 16:30:00","_demo.location_spielraum_trudering","_demo.partner_instructor_02","event.event_stage_announced","","16","True","True","True","https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=1600&h=900&fit=crop","cover","Impro für Kids","Gemeinsam Geschichten aus dem Nichts entstehen lassen. Improtheater für Kinder ab 7 Jahren.","_demo.location_spielraum_trudering"
"_demo.event_nachbarschaftstheater_laim","Nachbarschaftstheater Laim","2026-01-10 16:00:00","2026-01-10 20:00:00","_demo.location_theaterlokal_laim","_demo.partner_instructor_06","event.event_stage_announced","","24","True","True","True","https://images.unsplash.com/photo-1524178232363-1fb2b075b655?w=1600&h=900&fit=crop","cover","Community Event","Theater im Kiez. Nachbar*innen entwickeln Szenen über ihr Zusammenleben. Mit Kaffee und Kuchen.","_demo.location_theaterlokal_laim"
"_demo.event_kulturpark_augsburg","Applied Theatre: Migration & Identität","2026-01-15 10:00:00","2026-01-15 18:00:00","_demo.location_probebühne_augsburg","_demo.partner_instructor_04","event.event_stage_announced","","28","True","True","True","https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=1600&h=900&fit=crop","cover","Applied Theatre","Theater als Dialog über Migration und Identität. Biografische Ansätze, diverse Perspektiven.","_demo.location_probebühne_augsburg"
"_demo.event_juku_augsburg","Jugendtheater: Social Media & Ich","2026-01-17 15:00:00","2026-01-17 19:00:00","_demo.location_jugendkulturhaus_augsburg","_demo.partner_instructor_13","event.event_stage_announced","","22","True","True","True","https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=1600&h=900&fit=crop","cover","Teen Workshop","Theaterprojekt über Selbstdarstellung im Netz. Von Jugendlichen für Jugendliche entwickelt.","_demo.location_jugendkulturhaus_augsburg"
"_demo.event_retreat_stadtbergen","Theater-Retreat Wochenende","2026-01-24 14:00:00","2026-01-26 16:00:00","_demo.location_theaterraum_stadtbergen","_demo.partner_instructor_15","event.event_stage_announced","","12","True","True","True","https://images.unsplash.com/photo-1503095396549-807759245b35?w=1600&h=900&fit=crop","cover","Intensiv-Workshop","Intensives Theater-Wochenende auf dem Land. Ensemble-Building, kreative Prozesse, gemeinsames Kochen.","_demo.location_theaterraum_stadtbergen"
"_demo.event_inklusion_koenigsbrunn","Inklusives Theater","2026-01-29 10:00:00","2026-01-29 16:00:00","_demo.location_werkstatt_königsbrunn","_demo.partner_instructor_11","event.event_stage_announced","","20","True","True","True","https://images.unsplash.com/photo-1518032818693-c0c149476558?w=1600&h=900&fit=crop","cover","Inklusions-Workshop","Theater für alle. Barrierefreier Workshop mit vielfältigen Zugängen zu theatralem Ausdruck.","_demo.location_werkstatt_königsbrunn"
"_demo.event_regional_schwaben","Schwäbisches Erzähltheater","2026-02-01 14:00:00","2026-02-01 18:00:00","_demo.location_kulturzentrum_schwaben","_demo.partner_instructor_19","event.event_stage_announced","","25","True","True","True","https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=1600&h=900&fit=crop","cover","Storytelling","Regionale Geschichten theatral erzählen. Tradition trifft zeitgenössische Performance.","_demo.location_kulturzentrum_schwaben"
"_demo.event_summer_krumlov","Letní divadelní kemp","2026-07-15 10:00:00","2026-07-22 16:00:00","_demo.location_kulturni_centrum_cesky_krumlov","","event.event_stage_announced","","40","True","True","True","https://images.unsplash.com/photo-1511632765486-a01980e01a18?w=1600&h=900&fit=crop","cover","Summer Camp","Týdenní mezinárodní divadelní kemp v Českém Krumlově. Pro mladé divadelníky 14-25 let.","_demo.location_kulturni_centrum_cesky_krumlov"
