"id","name","subtitle","teaser","author_id/id","blog_id/id","tag_ids/id","website_published","is_published","post_date","cover_properties","event_id/id","cimg"
"_demo.post_020","Theater-Retreat im Grünen","Intensives Wochenende auf dem Land","Ayşe Yılmaz kombiniert Theater mit Naturerfahrung. Das Theater-Retreat Wochenende bietet Raum für intensive Ensemble-Bildung, kreative Prozesse und gemeinsames Kochen - abseits der Stadt in ländlicher Atmosphäre.","_demo.instructor_15","blog.blog_1","","True","True","2025-12-03","{}","_demo.event_retreat_stadtbergen","https://images.unsplash.com/photo-1503095396549-807759245b35?w=1200&h=800&fit=crop"
"_demo.post_021","Theater für alle","Barrierefreie Theaterarbeit in Königsbrunn","Nina Braun entwickelt inklusive Theaterformate mit vielfältigen Zugängen. Ihr Workshop zeigt, wie Theater für Menschen mit unterschiedlichen Fähigkeiten gestaltet werden kann - ein wichtiger Beitrag zur kulturellen Teilhabe.","_demo.instructor_09","blog.blog_1","","True","True","2025-12-05","{}","_demo.event_inklusion_koenigsbrunn","https://images.unsplash.com/photo-1594744803329-e58b31de8bf5?w=1200&h=800&fit=crop"
"_demo.post_022","Schwäbische Geschichten zeitgemäß erzählt","Regionales Erzähltheater","Monika Schuster verbindet schwäbische Traditionen mit zeitgenössischer Performance. Ihr Erzähltheater-Workshop zeigt, wie regionale Geschichten für heutige Zuschauer*innen relevant bleiben und neue Bedeutung gewinnen.","_demo.instructor_19","blog.blog_1","","True","True","2025-12-08","{}","_demo.event_regional_schwaben","https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91?w=1200&h=800&fit=crop"
"_demo.post_023","Stadtteile im Fokus","Community Theater in Nürnberg Süd","Robert Lang entwickelt partizipative Theaterprojekte für Stadtteile. Sein Community Theater Workshop in Nürnberg Süd zeigt, wie Bewohner*innen ihre Viertel durch Theater neu entdecken und gemeinsam Visionen entwickeln.","_demo.instructor_16","blog.blog_1","","True","True","2025-12-10","{}","_demo.event_stadtteater_nuernberg","https://images.unsplash.com/photo-1492562080023-ab3db95bfbce?w=1200&h=800&fit=crop"
"_demo.post_024","Theater und soziale Gerechtigkeit","Aktivismus durch Performance","Sebastian Wolf verbindet künstlerische Praxis mit gesellschaftlichem Engagement. Seine Workshops im Kulturladen Zabo zeigen, wie Theater als Werkzeug für soziale Veränderung eingesetzt werden kann.","_demo.instructor_12","blog.blog_1","","True","True","2025-12-12","{}","_demo.event_soziokulturell_zabo","https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=1200&h=800&fit=crop"
"_demo.post_025","Kulturen verbinden durch Theater","Interkulturelles Jugendtheater Langwasser","Nina Braun leitet interkulturelle Theaterprojekte im Jugendhaus Langwasser. 30 Jugendliche aus verschiedenen Herkunftsländern entwickeln gemeinsam Performances und zeigen, wie kulturelle Vielfalt zur Stärke wird.","_demo.instructor_09","blog.blog_1","","True","True","2025-12-15","{}","_demo.event_interkulturell_langwasser","https://images.unsplash.com/photo-1529626455594-4ff0802cfb7e?w=1200&h=800&fit=crop"
"_demo.post_026","Improtheater für Einsteiger*innen","Erste Schritte ohne Skript","Oliver Schulz führt in die Grundlagen des Improtheaters ein. Sein Schnupperkurs in Fürth zeigt Anfänger*innen, wie aus spontanen Impulsen kleine Theaterstücke entstehen - spielerisch und ohne Leistungsdruck.","_demo.instructor_10","blog.blog_1","","True","True","2025-12-18","{}","_demo.event_impro_fuerth","https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=1200&h=800&fit=crop"
"_demo.post_027","Studentisches Theaterlab","Künstlerische Forschung an der Universität","Viktor Novák leitet experimentelle Theaterworkshops für Studierende. Das Performance Lab in Erlangen bietet Raum für innovative Formate und künstlerische Forschung jenseits etablierter Theaterformen.","_demo.instructor_18","blog.blog_1","","True","True","2025-12-20","{}","_demo.event_student_erlangen","https://images.unsplash.com/photo-1531427186611-ecfd6d936c79?w=1200&h=800&fit=crop"
"_demo.post_028","Mezinárodní divadelní most","Český a německý dialog přes hranice","Katarina Svoboda organizuje v Plzni mezinárodní divadelní workshop pro německé a české mladé lidi. Třídenní projekt ukazuje, jak divadlo překonává jazykové bariéry a vytváří nové přátelství přes hranice.","_demo.instructor_17","blog.blog_1","","True","True","2025-12-22","{}","_demo.event_mezinarodni_plzen","https://images.unsplash.com/photo-1546672741-d327539d5f13?w=1200&h=800&fit=crop"
"_demo.post_029","Divadlo na hranici","Společná česko-německá historie v Aši","Jan Černý vytváří divadelní projekty o společné česko-německé historii v příhraničí. Jeho workshop v Aši zkoumá minulost i současnost regionu prostřednictvím divadelních metod a komunitního storytellingu.","_demo.instructor_20","blog.blog_1","","True","True","2025-12-25","{}","_demo.event_hraniční_as","https://images.unsplash.com/photo-1539571696357-5a69c17a67c6?w=1200&h=800&fit=crop"
"_demo.post_030","Aplikované divadlo v Praze","Viktor Novák o sociálně angažovaném divadle","Viktor Novák vede seminář aplikovaného divadla v pražském Studio Ypsilon. Účastníci se učí metody sociálně angažovaného divadla a zkoumají, jak může performance měnit společnost a podporovat dialog o aktuálních tématech.","_demo.instructor_18","blog.blog_1","","True","True","2025-12-28","{}","_demo.event_aplikovane_praha_ypsilon","https://images.unsplash.com/photo-1531427186611-ecfd6d936c79?w=1200&h=800&fit=crop"
